source_system,raw_code,station_id
bart_official_abbr,12TH,12th
bart_official_abbr,16TH,16th
bart_official_abbr,19TH,19th
bart_official_abbr,24TH,24th
bart_official_abbr,ANTC,antc
bart_official_abbr,ASHB,ashb
bart_official_abbr,BALB,balb
bart_official_abbr,BAYF,bayf
bart_official_abbr,BERY,bery
bart_official_abbr,CAST,cast
bart_official_abbr,CIVC,civc
bart_official_abbr,COLM,colm
bart_official_abbr,COLS,cols
bart_official_abbr,CONC,conc
bart_official_abbr,DALY,daly
bart_official_abbr,DBRK,dbrk
bart_official_abbr,DELN,deln
bart_official_abbr,DUBL,dubl
bart_official_abbr,EMBR,embr
bart_official_abbr,FRMT,frmt
bart_official_abbr,FTVL,ftvl
bart_official_abbr,GLEN,glen
bart_official_abbr,HAYW,hayw
bart_official_abbr,LAFY,lafy
bart_official_abbr,LAKE,lake
bart_official_abbr,MCAR,mcar
bart_official_abbr,MLBR,mlbr
bart_official_abbr,MLPT,mlpt
bart_official_abbr,MONT,mont
bart_official_abbr,NBRK,nbrk
bart_official_abbr,NCON,ncon
bart_official_abbr,OAKL,oakl
bart_official_abbr,ORIN,orin
bart_official_abbr,PCTR,pctr
bart_official_abbr,PHIL,phil
bart_official_abbr,PITT,pitt
bart_official_abbr,PLZA,plza
bart_official_abbr,POWL,powl
bart_official_abbr,RICH,rich
bart_official_abbr,ROCK,rock
bart_official_abbr,SANL,sanl
bart_official_abbr,SBRN,sbrn
bart_official_abbr,SFIA,sfia
bart_official_abbr,SHAY,shay
bart_official_abbr,SSAN,ssan
bart_official_abbr,UCTY,ucty
bart_official_abbr,WARM,warm
bart_official_abbr,WCRK,wcrk
bart_official_abbr,WDUB,wdub
bart_official_abbr,WOAK,woak
bart_deprecated_abbr,ASBY,ashb
hourly_od,12TH,12th
hourly_od,16TH,16th
hourly_od,19TH,19th
hourly_od,24TH,24th
hourly_od,ANTC,antc
hourly_od,ASHB,ashb
hourly_od,BALB,balb
hourly_od,BAYF,bayf
hourly_od,BERY,bery
hourly_od,CAST,cast
hourly_od,CIVC,civc
hourly_od,COLM,colm
hourly_od,COLS,cols
hourly_od,CONC,conc
hourly_od,DALY,daly
hourly_od,DBRK,dbrk
hourly_od,DELN,deln
hourly_od,DUBL,dubl
hourly_od,EMBR,embr
hourly_od,FRMT,frmt
hourly_od,FTVL,ftvl
hourly_od,GLEN,glen
hourly_od,HAYW,hayw
hourly_od,LAFY,lafy
hourly_od,LAKE,lake
hourly_od,MCAR,mcar
hourly_od,MLBR,mlbr
hourly_od,MLPT,mlpt
hourly_od,MONT,mont
hourly_od,NBRK,nbrk
hourly_od,NCON,ncon
hourly_od,OAKL,oakl
hourly_od,ORIN,orin
hourly_od,PCTR,pctr
hourly_od,PHIL,phil
hourly_od,PITT,pitt
hourly_od,PLZA,plza
hourly_od,POWL,powl
hourly_od,RICH,rich
hourly_od,ROCK,rock
hourly_od,SANL,sanl
hourly_od,SBRN,sbrn
hourly_od,SFIA,sfia
hourly_od,SHAY,shay
hourly_od,SSAN,ssan
hourly_od,UCTY,ucty
hourly_od,WARM,warm
hourly_od,WCRK,wcrk
hourly_od,WDUB,wdub
hourly_od,WOAK,woak
workbook_total_trips,12,12th
workbook_total_trips,16,16th
workbook_total_trips,19,19th
workbook_total_trips,24,24th
workbook_total_trips,AN,antc
workbook_total_trips,AS,ashb
workbook_total_trips,BP,balb
workbook_total_trips,BF,bayf
workbook_total_trips,BE,bery
workbook_total_trips,CV,cast
workbook_total_trips,CC,civc
workbook_total_trips,CM,colm
workbook_total_trips,CL,cols
workbook_total_trips,CN,conc
workbook_total_trips,DC,daly
workbook_total_trips,BK,dbrk
workbook_total_trips,EN,deln
workbook_total_trips,ED,dubl
workbook_total_trips,EM,embr
workbook_total_trips,FM,frmt
workbook_total_trips,FV,ftvl
workbook_total_trips,GP,glen
workbook_total_trips,HY,hayw
workbook_total_trips,LF,lafy
workbook_total_trips,LM,lake
workbook_total_trips,MA,mcar
workbook_total_trips,MB,mlbr
workbook_total_trips,ML,mlpt
workbook_total_trips,MT,mont
workbook_total_trips,NB,nbrk
workbook_total_trips,NC,ncon
workbook_total_trips,OA,oakl
workbook_total_trips,OR,orin
workbook_total_trips,PC,pctr
workbook_total_trips,PH,phil
workbook_total_trips,WP,pitt
workbook_total_trips,EP,plza
workbook_total_trips,PL,powl
workbook_total_trips,RM,rich
workbook_total_trips,RR,rock
workbook_total_trips,SL,sanl
workbook_total_trips,SB,sbrn
workbook_total_trips,SO,sfia
workbook_total_trips,SH,shay
workbook_total_trips,SS,ssan
workbook_total_trips,UC,ucty
workbook_total_trips,WS,warm
workbook_total_trips,WC,wcrk
workbook_total_trips,WD,wdub
workbook_total_trips,OW,woak
legacy_app_code,12th,12th
legacy_app_code,16th,16th
legacy_app_code,19th,19th
legacy_app_code,24th,24th
legacy_app_code,AN,antc
legacy_app_code,AS,ashb
legacy_app_code,BP,balb
